"Date","Open","High","Low","Close","Volume","Market Cap"
"24-11-2017",0.027406,0.028597,0.026963,0.028382,5502350,735856931
"23-11-2017",0.02854,0.028678,0.027444,0.027444,5132300,711539931
"22-11-2017",0.028399,0.029034,0.027891,0.028549,4938480,740197122
"21-11-2017",0.029587,0.029709,0.027404,0.02833,5836790,734526872
"20-11-2017",0.028152,0.0323,0.027612,0.029581,16172400,766956452
"19-11-2017",0.026243,0.028478,0.025581,0.028084,4725050,728148813
"18-11-2017",0.025597,0.027122,0.024748,0.026369,2930550,683673516
"17-11-2017",0.027143,0.027436,0.025184,0.025773,3578870,668205425
"16-11-2017",0.026583,0.02817,0.025654,0.02758,4888130,715068605
"15-11-2017",0.026116,0.027773,0.025261,0.026445,6858800,685631010
"14-11-2017",0.025797,0.026788,0.025342,0.02623,3033290,680069653
"13-11-2017",0.024364,0.0263,0.023495,0.025808,4419440,669115466
"12-11-2017",0.02748,0.027952,0.022591,0.023977,7280250,621653370
"11-11-2017",0.026891,0.029659,0.025684,0.027437,5532220,711363627
"10-11-2017",0.032219,0.033348,0.026451,0.027119,6766780,703121411
"09-11-2017",0.02516,0.03506,0.025006,0.032053,18716200,831037799
"08-11-2017",0.021912,0.026393,0.02166,0.025186,6367000,652999199
"07-11-2017",0.021846,0.023347,0.021414,0.022195,2539540,575443552
"06-11-2017",0.020977,0.023609,0.020534,0.021881,4591160,567310230
"05-11-2017",0.022054,0.023006,0.020635,0.020635,2396230,535005101
"04-11-2017",0.022641,0.023849,0.02197,0.022022,2626920,570968540
"03-11-2017",0.021418,0.023213,0.019827,0.022628,2836080,586680345
"02-11-2017",0.023079,0.024977,0.01821,0.021306,6165050,552399572
"01-11-2017",0.029127,0.029219,0.022986,0.022986,9382780,595964829
"31-10-2017",0.028547,0.030715,0.028075,0.030437,7304450,789155210
